masker_angle,target_strength
0.035561878,-36.92318634
0.533428165,-36.84779516
1.031294452,-39.69548091
2.489331437,-39.23842871
4.978662873,-39.5537805
10.0284495,-43.80008754
15.00711238,-51.8154065
19.98577525,-56.21534085
21.9772404,-63.06762228
